size_bytes,avalanche_score
64,0.578125
64,0.5625
64,0.5078125
64,0.4609375
64,0.5390625
64,0.484375
64,0.5390625
64,0.5234375
64,0.609375
64,0.4765625
64,0.4375
64,0.515625
64,0.515625
64,0.5
64,0.515625
64,0.578125
64,0.578125
64,0.515625
64,0.5546875
64,0.5078125
64,0.609375
64,0.4296875
64,0.484375
64,0.5
64,0.4296875
64,0.4296875
64,0.4765625
64,0.453125
64,0.5
64,0.4609375
64,0.53125
64,0.5
64,0.484375
64,0.515625
64,0.5546875
64,0.5
64,0.5
64,0.59375
64,0.4296875
64,0.515625
64,0.5078125
64,0.5
64,0.5078125
64,0.4296875
64,0.53125
64,0.59375
64,0.4921875
64,0.5625
64,0.46875
64,0.53125
64,0.4453125
64,0.515625
64,0.515625
64,0.53125
64,0.4296875
64,0.46875
64,0.4453125
64,0.53125
64,0.5859375
64,0.6015625
64,0.4921875
64,0.4765625
64,0.484375
64,0.5078125
64,0.484375
64,0.484375
64,0.5
64,0.4765625
64,0.5078125
64,0.4140625
64,0.4296875
64,0.5546875
64,0.5078125
64,0.5078125
64,0.4921875
64,0.5
64,0.4375
64,0.4609375
64,0.5625
64,0.5703125
64,0.5234375
64,0.4609375
64,0.546875
64,0.40625
64,0.484375
64,0.5
64,0.53125
64,0.4375
64,0.546875
64,0.484375
64,0.5078125
64,0.5390625
64,0.515625
64,0.53125
64,0.5234375
64,0.53125
64,0.546875
64,0.4921875
64,0.4921875
64,0.5390625
64,0.4453125
64,0.4921875
64,0.515625
64,0.484375
64,0.5390625
64,0.4375
64,0.4609375
64,0.515625
64,0.46875
64,0.4375
64,0.4296875
64,0.5234375
64,0.484375
64,0.4765625
64,0.4765625
64,0.5703125
64,0.4296875
64,0.4296875
64,0.4453125
64,0.4765625
64,0.46875
64,0.5390625
64,0.46875
64,0.5390625
64,0.53125
64,0.4609375
64,0.53125
64,0.546875
64,0.5078125
64,0.4609375
64,0.4765625
64,0.546875
64,0.546875
64,0.5703125
64,0.484375
64,0.53125
64,0.5078125
64,0.453125
64,0.453125
64,0.4453125
64,0.4921875
64,0.4375
64,0.5
64,0.46875
64,0.46875
64,0.6015625
64,0.5078125
64,0.453125
64,0.4765625
64,0.515625
64,0.4921875
64,0.4921875
64,0.4140625
64,0.5234375
64,0.4921875
64,0.578125
64,0.4609375
64,0.4921875
64,0.4453125
64,0.453125
64,0.484375
64,0.546875
64,0.4609375
64,0.5546875
64,0.46875
64,0.46875
64,0.46875
64,0.4765625
64,0.46875
64,0.484375
64,0.4921875
64,0.4765625
64,0.5390625
64,0.484375
64,0.4765625
64,0.53125
64,0.5546875
64,0.53125
64,0.5234375
64,0.5625
64,0.5234375
64,0.515625
64,0.5
64,0.453125
64,0.5
64,0.421875
64,0.4921875
64,0.46875
64,0.453125
64,0.46875
64,0.4140625
64,0.4921875
64,0.46875
64,0.4765625
64,0.4921875
64,0.4296875
64,0.4765625
64,0.4921875
64,0.453125
64,0.4921875
64,0.484375
64,0.484375
64,0.484375
64,0.5234375
64,0.4765625
64,0.4765625
64,0.5078125
64,0.3828125
64,0.5234375
64,0.3984375
64,0.4609375
64,0.5234375
64,0.53125
64,0.5625
64,0.46875
64,0.578125
64,0.4921875
64,0.46875
64,0.4609375
64,0.5078125
64,0.484375
64,0.5
64,0.5234375
64,0.5078125
64,0.5078125
64,0.4921875
64,0.53125
64,0.5078125
64,0.5390625
64,0.53125
64,0.515625
64,0.453125
