size_bytes,avalanche_score
32,0.59375
32,0.5
32,0.4921875
32,0.46875
32,0.484375
32,0.5234375
32,0.421875
32,0.4609375
32,0.5390625
32,0.4765625
32,0.46875
32,0.4453125
32,0.5546875
32,0.53125
32,0.515625
32,0.46875
32,0.5234375
32,0.515625
32,0.484375
32,0.515625
32,0.4375
32,0.5078125
32,0.5234375
32,0.4921875
32,0.5078125
32,0.4609375
32,0.4765625
32,0.5
32,0.46875
32,0.4375
32,0.5078125
32,0.578125
32,0.390625
32,0.5625
32,0.5078125
32,0.4453125
32,0.484375
32,0.484375
32,0.53125
32,0.4140625
32,0.4375
32,0.4765625
32,0.515625
32,0.4453125
32,0.53125
32,0.453125
32,0.4609375
32,0.484375
32,0.4609375
32,0.5
32,0.4765625
32,0.53125
32,0.484375
32,0.5859375
32,0.5625
32,0.484375
32,0.546875
32,0.453125
32,0.53125
32,0.484375
32,0.4296875
32,0.5
32,0.5625
32,0.5234375
32,0.4765625
32,0.5546875
32,0.4453125
32,0.6015625
32,0.4765625
32,0.5
32,0.4765625
32,0.484375
32,0.546875
32,0.546875
32,0.5
32,0.578125
32,0.4296875
32,0.3984375
32,0.4765625
32,0.46875
32,0.5234375
32,0.4921875
32,0.4765625
32,0.5
32,0.515625
32,0.53125
32,0.421875
32,0.5625
32,0.5546875
32,0.453125
32,0.5
32,0.484375
32,0.46875
32,0.5
32,0.53125
32,0.4296875
32,0.53125
32,0.5703125
32,0.546875
32,0.46875
32,0.453125
32,0.5078125
32,0.546875
32,0.4453125
32,0.5234375
32,0.5078125
32,0.46875
32,0.4921875
32,0.421875
32,0.5703125
32,0.453125
32,0.4921875
32,0.5546875
32,0.53125
32,0.5234375
32,0.4609375
32,0.4609375
32,0.5546875
32,0.515625
32,0.5859375
32,0.5234375
32,0.5625
32,0.5078125
32,0.46875
32,0.46875
32,0.4609375
32,0.46875
32,0.4921875
32,0.4921875
32,0.484375
32,0.4609375
32,0.515625
32,0.4453125
32,0.4609375
32,0.5234375
32,0.46875
32,0.53125
32,0.4609375
32,0.4609375
32,0.5234375
32,0.578125
32,0.484375
32,0.5546875
32,0.46875
32,0.5234375
32,0.4375
32,0.578125
32,0.4609375
32,0.546875
32,0.484375
32,0.5078125
32,0.4375
32,0.53125
32,0.46875
32,0.5234375
32,0.5078125
32,0.515625
32,0.4921875
32,0.5
32,0.5078125
32,0.4921875
32,0.5234375
32,0.515625
32,0.5546875
