size_bytes,avalanche_score
16,0.5
16,0.5859375
16,0.59375
16,0.453125
16,0.4921875
16,0.484375
16,0.46875
16,0.546875
16,0.4921875
16,0.578125
16,0.5234375
16,0.546875
16,0.484375
16,0.46875
16,0.4765625
16,0.4453125
16,0.5078125
16,0.453125
16,0.5234375
16,0.53125
16,0.421875
16,0.5625
16,0.4765625
16,0.4765625
16,0.53125
16,0.515625
16,0.4453125
16,0.4375
16,0.4609375
16,0.5234375
16,0.5625
16,0.546875
16,0.515625
16,0.5546875
16,0.5390625
16,0.4921875
16,0.4765625
16,0.515625
16,0.59375
16,0.5
16,0.4375
16,0.53125
16,0.546875
16,0.515625
16,0.4453125
16,0.5
16,0.46875
16,0.484375
16,0.5078125
16,0.515625
16,0.5390625
16,0.484375
16,0.484375
16,0.546875
16,0.484375
16,0.546875
16,0.5
16,0.546875
16,0.453125
16,0.46875
16,0.5
16,0.4609375
16,0.5390625
16,0.5078125
16,0.53125
16,0.5
16,0.4765625
16,0.546875
16,0.4609375
16,0.53125
16,0.5625
16,0.546875
16,0.4921875
16,0.546875
16,0.4375
16,0.5859375
16,0.6328125
16,0.5
16,0.4609375
16,0.4609375
16,0.5234375
16,0.484375
16,0.4765625
16,0.546875
16,0.46875
16,0.53125
16,0.46875
16,0.4609375
16,0.4765625
16,0.46875
16,0.5
16,0.53125
16,0.5
16,0.5703125
16,0.5078125
16,0.53125
16,0.484375
16,0.4765625
16,0.5
16,0.4296875
16,0.421875
16,0.5078125
16,0.546875
16,0.4921875
16,0.5234375
16,0.5
16,0.4765625
16,0.4609375
16,0.5234375
16,0.546875
16,0.5
16,0.5
16,0.46875
16,0.59375
16,0.515625
16,0.4375
16,0.5546875
16,0.5078125
16,0.53125
16,0.5078125
16,0.4609375
16,0.4765625
16,0.3984375
16,0.4140625
16,0.484375
16,0.4609375
16,0.4765625
16,0.5234375
16,0.4921875
16,0.5625
16,0.6015625
16,0.546875
16,0.5078125
16,0.4453125
16,0.4765625
16,0.5234375
16,0.4765625
16,0.546875
16,0.4921875
16,0.5390625
16,0.421875
16,0.5625
16,0.4921875
16,0.515625
16,0.5703125
16,0.421875
16,0.515625
16,0.5234375
16,0.6015625
16,0.4765625
16,0.5234375
16,0.484375
16,0.546875
16,0.4609375
16,0.4375
16,0.546875
16,0.5546875
16,0.46875
16,0.53125
16,0.5234375
16,0.5
16,0.5859375
16,0.4765625
16,0.4609375
16,0.46875
16,0.5546875
16,0.515625
16,0.5
16,0.4765625
16,0.4765625
16,0.5703125
16,0.4765625
16,0.546875
16,0.4765625
16,0.5078125
16,0.5078125
16,0.4609375
16,0.515625
16,0.546875
16,0.46875
16,0.453125
16,0.53125
16,0.484375
16,0.4609375
16,0.5
16,0.4765625
16,0.4609375
16,0.4609375
16,0.5625
16,0.5
16,0.5390625
16,0.484375
16,0.4921875
16,0.4765625
16,0.4609375
16,0.5546875
16,0.546875
16,0.5703125
16,0.421875
16,0.4375
16,0.5078125
16,0.5
16,0.5234375
16,0.5
16,0.4921875
16,0.546875
16,0.5078125
16,0.5078125
16,0.453125
16,0.5234375
16,0.4765625
16,0.6015625
16,0.4765625
16,0.46875
16,0.5
16,0.53125
16,0.515625
16,0.5859375
16,0.4453125
16,0.4921875
16,0.5546875
16,0.4375
16,0.5390625
16,0.453125
16,0.5234375
16,0.5
16,0.515625
16,0.5625
16,0.5625
16,0.5
16,0.515625
16,0.4921875
16,0.4765625
16,0.515625
16,0.5
16,0.515625
16,0.5078125
16,0.5390625
16,0.5390625
16,0.515625
16,0.4921875
16,0.515625
16,0.5234375
16,0.515625
16,0.5546875
16,0.4375
16,0.515625
16,0.4921875
16,0.5
16,0.5078125
16,0.5078125
16,0.421875
16,0.40625
16,0.5234375
16,0.4765625
16,0.484375
16,0.5
16,0.5078125
16,0.4609375
16,0.4609375
16,0.484375
16,0.5
16,0.484375
16,0.40625
16,0.546875
16,0.4296875
16,0.5390625
16,0.40625
16,0.4921875
16,0.53125
16,0.5546875
16,0.484375
16,0.4921875
16,0.4765625
16,0.5546875
16,0.515625
16,0.515625
16,0.4921875
16,0.4453125
16,0.5546875
16,0.515625
16,0.546875
16,0.46875
16,0.6015625
16,0.53125
16,0.5078125
16,0.515625
16,0.4921875
16,0.4609375
16,0.4921875
16,0.4921875
16,0.5078125
16,0.4921875
16,0.46875
16,0.609375
16,0.484375
16,0.4921875
16,0.5
16,0.4453125
16,0.484375
16,0.5078125
16,0.5078125
16,0.5390625
16,0.421875
16,0.484375
16,0.625
16,0.5703125
16,0.5
16,0.4765625
16,0.578125
16,0.4453125
16,0.5078125
16,0.5
16,0.5546875
16,0.3828125
16,0.5625
16,0.4921875
16,0.5078125
16,0.5625
16,0.4375
16,0.390625
16,0.4296875
16,0.5390625
16,0.5390625
16,0.4921875
16,0.453125
16,0.4609375
16,0.4921875
16,0.4765625
16,0.484375
16,0.4921875
16,0.484375
16,0.5
16,0.4140625
16,0.4765625
16,0.4453125
16,0.4375
16,0.46875
16,0.5
16,0.5078125
16,0.5
16,0.5
16,0.4375
16,0.53125
16,0.5
16,0.4921875
16,0.4765625
16,0.5390625
16,0.4921875
16,0.453125
16,0.4765625
16,0.46875
16,0.4921875
16,0.4921875
16,0.4921875
16,0.453125
16,0.5078125
16,0.5234375
16,0.484375
16,0.5234375
16,0.4375
16,0.5
16,0.4609375
16,0.5078125
16,0.5234375
16,0.4375
16,0.4765625
16,0.5
16,0.4375
16,0.453125
16,0.53125
16,0.4921875
16,0.515625
16,0.5078125
16,0.5078125
16,0.4296875
16,0.5546875
16,0.4296875
16,0.5390625
16,0.4609375
16,0.5
16,0.578125
16,0.578125
16,0.5078125
16,0.4609375
16,0.5078125
16,0.5078125
16,0.515625
16,0.4765625
16,0.59375
16,0.5703125
16,0.5625
16,0.4921875
16,0.515625
16,0.5
16,0.5
16,0.546875
16,0.4921875
16,0.5625
16,0.5078125
16,0.453125
16,0.5234375
16,0.609375
16,0.6171875
16,0.4453125
16,0.4609375
16,0.5078125
16,0.40625
16,0.53125
16,0.5
16,0.5
16,0.453125
16,0.53125
16,0.453125
16,0.5390625
16,0.546875
16,0.578125
16,0.4296875
16,0.53125
16,0.5078125
16,0.578125
16,0.5625
16,0.5
16,0.4921875
16,0.3984375
16,0.4921875
16,0.46875
16,0.515625
16,0.578125
16,0.4765625
