bit_flipped,avalanche
113,0.5546875
125,0.5234375
62,0.515625
43,0.515625
34,0.546875
14,0.4921875
121,0.4921875
98,0.453125
21,0.5859375
12,0.5625
44,0.5546875
6,0.5625
116,0.5390625
35,0.46875
32,0.546875
76,0.5859375
74,0.515625
2,0.4765625
89,0.5390625
79,0.5
21,0.484375
48,0.4609375
85,0.5234375
74,0.53125
93,0.5234375
114,0.515625
107,0.5546875
45,0.5390625
118,0.5390625
117,0.5234375
92,0.53125
127,0.4453125
82,0.4921875
62,0.5078125
71,0.546875
127,0.4921875
105,0.484375
79,0.46875
74,0.5
89,0.5703125
105,0.4765625
100,0.5
113,0.46875
93,0.5
99,0.46875
64,0.5390625
49,0.5078125
31,0.421875
106,0.4765625
23,0.5
101,0.4921875
35,0.453125
42,0.4375
53,0.46875
40,0.4453125
24,0.46875
110,0.5078125
111,0.421875
73,0.5390625
89,0.4765625
80,0.4921875
48,0.484375
64,0.515625
83,0.5703125
51,0.5625
77,0.5625
103,0.421875
76,0.546875
85,0.484375
80,0.5546875
98,0.5390625
44,0.5546875
28,0.5078125
117,0.4140625
38,0.46875
90,0.421875
71,0.4921875
25,0.4921875
29,0.4921875
125,0.484375
67,0.5
41,0.484375
104,0.53125
121,0.40625
55,0.5234375
21,0.5390625
58,0.4375
93,0.546875
6,0.5390625
54,0.5703125
33,0.5
84,0.5
19,0.515625
122,0.4453125
10,0.46875
31,0.5390625
11,0.5
57,0.484375
108,0.5
33,0.5078125
49,0.5625
106,0.515625
9,0.4765625
73,0.53125
49,0.5546875
13,0.5390625
64,0.4921875
45,0.5078125
36,0.546875
119,0.4375
83,0.515625
9,0.4453125
104,0.4921875
68,0.578125
33,0.5078125
25,0.484375
65,0.5
45,0.4765625
65,0.6015625
95,0.5
9,0.46875
89,0.5859375
